Cebimde geçen kıştan 50 lira bulunca şaşırdım.,Süpriz
Ödevler projeler bitti.,Mutlu
memlekete giderken kaza yaptık çok ürkütücüydü.,Korku
projemi yetiştiremedim.,Sinirli
iyi beklediğim sınav kötü geldi.,Üzüntü
Yurdun pisliğinden bıktım.,İğrenç
düşük beklediğim sınavın sonucu yüksek geldi.,Süpriz
sevdiklerimle hep beraber olduğum anlarda mutlu olurum.,Mutlu
üniversite sınavının sonucunu beklerken korktum.,Korku
ahmak yerine konduğumda öfkeli olurum.,Sinirli
kız arkadaşımdan ayrıldıktan sonra üzüntülü olurum.,Üzüntü
yemeğimin içinde yüzen sinek beni tiksindirir.,İğrenç
uzun zamandır göremediğim arkadaşımı gördüğüm zaman şaşırmıştım.,Süpriz
cuma akşamları eve geldiğimde.,Mutlu
yanlış ödevi yüklediğimi fark ettiğim an.,Korku
proje bitince ödev. ödev bitince proje verilmesi.,Sinirli
otobüsü kaçırmak.,Üzüntü
okulun lavabolarından tiksiniyorum.,İğrenç
segmentation fault almamak.,Süpriz
Gs UEFA kupasını aldığında çok mutlu olmuştum.,Mutlu
"Karşımda üç köpek görünce biraz şaşırdım ama büyük bir sıkıntı yoktu, ta ki son hızla beni kovalamaya başlamalarına kadar...",Korku
Fenerbahçe şike yapınca çok öfkelendim.,Sinirli
Dom ödevini gördükten sonra çok üzüldüm...,Üzüntü
"Evime bir misafir geldiğinde, 'Sigara içebilir miyim?' sorusunu sormasından hoşlanmıyorum.",İğrenç
Lisede İngilizce sınavından 100 alınca çok şaşırmıştım.,Süpriz
yani üniversiteyi kazandığımda tabii ki de,Mutlu
küçükken arkadaşlarla eski içinde kimse yaşamayan bir konağa girmiştik. ama aslında orada bir evsiz yaşıyormuş. Tam göremedim ama elinde orak gibi bir şeyle bizi kovalamıştı. Altıma etmiştim,Korku
küçükken tavşanım vardı. Evde beslerdim. Bağa gittiğimde doğaya bırakırdım gezsin tozsun diye ama akşam vakti eve geri dönecekken çok zor geri yakalardım hep benden kaçardı. çok üzülürdüm.,Üzüntü
yani yurtta kalıyorum. Oda arkadaşlarımın bazı davranışlarından bıkmadım değil. eve çıkacağım zaten,İğrenç
ben babamın askerden dönüşünü hatırlıyorum. yani küçük olduğumdan ne hissettiğimi hatırlamıyorum açıkçası,Süpriz
ilk kez dayı olmuştum hayretler içerisinde yeğenime sarıldım,Mutlu
ilk kez dişçiye gittiğimde çok korkmuştum,Korku
Her zamanki günlerden biriydi otobüse binmiştim ancak inerken birde baktım ki cüzdanım çalınmış çok öfkelendim,Sinirli
10 yaşındayken karabaş adında bir köpeğim vardı karşıdan karşıya geçerken araba çarptı ve öldü,Üzüntü
evimde ben de dahil sigara içemem ve içmelerine izin vermem. Ancak bir gün misafirlerden birisi geldi ve sigara içebilir miyim dedi. hayır diyemedim yakın akrabaydı ama tiksiniyordum.,İğrenç
oğlum askerdeydi ve daha 6 ay gelmesini beklemiyordum. Ancak bir sabah kapı çaldı ve bir de baktım ki karşımda oğlum,Süpriz
"kaç aydır amaçladığım bir hedefe yaklaşınca,ulaşmaya ramak kalınca kendimi huzurlu ve mutlu hissederim",Mutlu
"Hiçbir çorabımın yıkalı olmadığını fark edip,kalan tek çorabın diğer çiftinin olmadığını öğrendiğimdeki korku dolu an",Korku
"Önümdeki dolmuş şoförü,bencilce sinyal vermeden durduğunda hissettiğim  öfke.",Sinirli
ailemi kaç ay görmeyince duyduğum hüzünle dolu özlem duygusu,Üzüntü
bir insanın doymak bilmeyen sonsuz egosuyla övünerek konuşması,İğrenç
aldığım notun beklemediğimden düşük çıkması,Süpriz
uzun süredir görüşmediğim ailem ile bir raya geldiğimde çok sevindim,Mutlu
en son ne zaman korku hissettiğimi hatırlamıyorum,Korku
daha önce verilmiş olan söz unutulduğunda çok öfkelendim,Sinirli
kaybettiğim yakınlarımı düşündüğümde büyük üzüntü hissediyorum,Üzüntü
Bütün gün uyuyup hiçbir şey yapmamaktan tiksiniyorum,İğrenç
Yıllardır görmediğim arkadaşım ile karşılaştığımda şaşırdım,Süpriz
Şu anda okumakta olduğum üniversiteyi kazandığımı öğrenince çok sevinmiştim,Mutlu
Küçükken beni iki köpek kovalamıştı ve yabancı bir yerde olduğum için saklanabileceğim bir yer yoktu,Korku
Daha önce kaldığım yurtta birden çok kez haklı olmama rağmen haksız duruma düşürülmem beni çok sinirlendirdi,Sinirli
DOM dersinin ödevi ve lab puanlama sistemi beni çok üzdü,Üzüntü
Eski oda arkadaşlarımın iğrenç davranışlarından bıktım,İğrenç
Yeni tanıştığım insanların benim hakkımda edindikleri fikirler beni şaşırtıyor,Süpriz
dersi aa notu ile geçmek,Mutlu
1.8 ortalamanın altında kalmak,Korku
derse hiç gelmeyen arkadaşımın benden fazla var yazılması,Sinirli
fd notu ile kaldığımı görünce,Üzüntü
derslerin lablarından ve ödevlerinden,İğrenç
ödevlerde en az 50 almak şart olduğunu öğrendiğimde,Süpriz
ben küçük bir çocukken yanıma yanaşan amca şekerin pantolonunun cebinde olduğunu söylediğinde çok mutlu olmuştum.,Mutlu
ben küçük bir çocukken arabayla yanıma yanaşan amca şeker vermeyi teklif ettiğinde korku dolu anlar yaşamış avazım çıktığınca bağırmıştım.,Korku
ben küçük bir çocukken arabayla yanıma yanaşan amca vaat ettiği şekeri vermeyince öfkelenmiştim.,Sinirli
o acı tecrübenin sonunda en azından bir şeker alamamak beni gerçekten üzen tek şeydi,Üzüntü
amcanın şeker olduğunu söylediği şeyin şeker olmadığını iş işten geçtikten sonra fark ettiğimde tiksinmiştim,İğrenç
bu beni şaşırtmıştı da aynı zamanda,Süpriz
Dün akşam iflah olmaz bir alkolik olduğumu anladım ve kendimden korktum.,Korku
Kütahya'ya muazzam bir terminal yapıldığında çok öfkelendim. Hatta kendime zarar verdim.,Sinirli
Pokemon dizisinde Pikachu-Ash ayrılığında ağlamıştım. Kimseye söylemedim ama gözümden süzülen yaşlara engel olamadım.,Üzüntü
Arkadaşımın cinsiyeti hakkında yanılmışım. Doğrusunu öğrendiğimde tiksindim ve uzaklaştım.,İğrenç
Amcamın mesleğini öğrendiğimde çok şaşırmıştım. Kendisi fakir genç kızların geçimine yardımcı oluyordu.,Süpriz
Galatasaray'ın şampiyonluğu beni çok mutlu etti.,Mutlu
Yaklaşan DOM ödevinden çok korkuyorum.,Korku
Lab da bilgisayar yanlışlıkla kapandığında sinirlerime hakim olamadım.,Sinirli
Projeyi tamamlayamayınca çok üzüldüm.,Üzüntü
Sürekli verilen ödevlerden bıktım,İğrenç
Logic dersinde AA notu gelince şok oldum.,Süpriz
projeyi bitirmekten çok mutluluk duyarım,Mutlu
projeyi bitirememekten çok korkarım,Korku
projeyi tam anlatamayan hocalara çok öfkelenirim,Sinirli
projeden kalmaktan üzüntü duyarım,Üzüntü
çalışmayan proje arkadaşından tiksinirim,İğrenç
proje kodu atan arkadaşlara çok şaşırırım,Süpriz
Bu labı bütün öğrenciler anlamış ve 100 almış şekilde tamamlayacaklar. Akşam hepimiz rahat uyuyacağız.,Mutlu
DOM labı geç biter diye düşünceler bastı...,Korku
Yine mi ödev! Hep ödev hep ödev!,Sinirli
Bisküviyi marketin 2 katı fiyatına satan bir kantinimiz var. 75 kuruşa satılan bisküviye 1 lira 50 kuruş verdiğim için çok üzüldüm.,Üzüntü
Yola tükürmek ya da izmarit atmak pek hoş değil sanki.,İğrenç
Çayı yeni demlemişler sanmıştım fakat çok beklemiş. Oysa ki yeni demlediklerine emindim.,Süpriz
Hiç beklemediğim bir yerden para gelmesine çok sevindim,Mutlu
İlk kez korku filmi seyrettiğimde etkisi altında kalıp uyuyamamıştım,Korku
İnsanların yardıma ihtiyacı olup yardım edip ben yardım istediğim zaman kimsenin bana yardım etmemesine çok sinir olurum,Sinirli
Vefat eden dayımı düşünmek içimi çok acıtıyor.,Üzüntü
Evde bozulan şeyleri görüp onları atarken çok tiksinirim,İğrenç
Paramın az harcadığım halde en son baktığımda hiç kalmamasına çok şaşırdım,Süpriz
Çayı başkasının demlemesi,Mutlu
Yükseklik,Korku
Gıcıklık yapılması,Sinirli
Vefat,Üzüntü
Birisinin yanımda kusması;,İğrenç
sürpriz yapılması,Süpriz
gece yatarken nereden geldiğini anlayamadığım sesler,Korku
ev arkadaşımın haddinden ağır lafları,Sinirli
vefat eden akraba,Üzüntü
arkadaşlarımın evine gittiğimde mutfakta aylardır yıkanmayan tencerelerin kokusu,İğrenç
alakasız iki insanın birbirini bulup sevgili olması,Süpriz
Ne yaptığımı bilmeden yazdığım kod doğru çıktı verince seviniyorum.,Mutlu
İri kıyım 3 5 kişiden dayak yemekten korkuyorum.,Korku
Arkadaşım haksızlığa uğradığında çok öfkeleniyorum.,Sinirli
"USB Belleğimi ve zippomu kaybettiğimde çok üzüldüm, ayrıca ölüm o kadar da üzülmeye değer bir şey değil. Doğum gibi sıradan bir olay.",Üzüntü
"Kezban kızlar ağzını yaya yaya konuştuğunda, o ve onun gibilerden tiksiniyorum.",İğrenç
Herhangi bir dersten bütünleme sınavına girmeden geçince çok şaşırıyorum.,Süpriz
2 yaz önce ilk defa İngiltere'ye gittiğim zaman çok mutlu oldum.,Mutlu
2005 yılında evde yalnızken şiddetli bir deprem olduğunda çok korkmuştum.,Korku
Arkadaşlarımın bana kazık atması beni çok öfkelendirir.,Sinirli
Annemin hasta olduğunu öğrendiğim gün çok üzüldüm.,Üzüntü
Birinin karşımda ağzını şapırdatarak yemek yemesinden tiksinirim.,İğrenç
doğum günümde evde hasta olarak yattığını söyleyen erkek arkadaşımı eve gelince birden karşımda görünce çok şaşırmıştım.,Süpriz
Jessie-j konserine gideceğim için çok mutluyum.,Mutlu
Projeden korkuyorum,Korku
Yine mi ödev bıktım,Sinirli
hava soğuk ve yağmurlu olduğu için çok mutsuzum.,Üzüntü
ödevlerden tiksiniyorum,İğrenç
şarjımın bittiğini görünce çok şaşırdım.,Süpriz
çok sevdiğim arkadaşlarımın yanındayken ve ailemleyken mutlu olurum,Mutlu
yanımda kimse yoksa karanlıktan korkarım,Korku
otobüsü kaçırdığımda öfkelenirim,Sinirli
labları yapamayınca üzülüyorum,Üzüntü
kurbağalardan tiksinirim,İğrenç
ders iptal olduğunda,Süpriz
abimin oğlu olacağına çok sevindim. amca oluyorum,Mutlu
küçükken ilkokulda iğne olunacağı zaman çok korkmuştum,Korku
tınaztepe de insanlar insin diye otobüsten inip tekrar binemeyince çok öfkeleniyorum. Otobüs mü küçülüyor yoksa içerideki insanlar mı genleşiyor anlamıyorum,Sinirli
ev yaparken babamın ufak bir kaza geçirmesine çok üzüldüm,Üzüntü
eve gelen misafirin çocuğunun labtop tuşlarına sürekli basması,İğrenç
meslek yüksek okulundan eski bir arkadaşım bana kendi telefonunu hediye edince çok şaşırmıştım,Süpriz
Arkadaşımı Pes2015 oyununda yendiğim için çok mutluyum.,Mutlu
"Yağmurlu havada kaymıştım, düşmekten çok korkmuştum.",Korku
Tam evin kapısındayken evin anahtarını arabada unutunca çok üzüldüm.,Üzüntü
Böcekler!,İğrenç
Ödevi yüklemeyi unuttuğuma çok şaşırdım.,Süpriz
bu ürkme eylemleri daha çok korku filmleri izlerken olurdu.,Korku
bu olayı yaşadım çünkü caddeden geçen araba ona aniden çarptı. sonra çok üzülmüştüm,Üzüntü
odadayken arkadaşımın dağınıklığı moralimi bozardı ben de onu uyarırdım.,İğrenç
Çocukluk hayalim olan Bilgisayar Mühendisliği bölümünü kazandığımda çok mutlu oldum.,Mutlu
Evde yalnız kaldığımda karanlıkta uyumaktan korkuyorum.,Korku
İnsanların arkamdan konuştuklarını öğrendiğimde çok öfkelendim.,Sinirli
Anneannem ve dedem vefat ettiğinde çok üzüldüm.,Üzüntü
Mutfakta gezinen hamam böceği görünce çok tiksiniyorum.,İğrenç
Kötü geçtiğini düşündüğüm bir sınavdan yüksek not aldığımda şaşırdım.,Süpriz
eşim ve oğlumla birlikte gezmek benim için en güzel aktivitedir. Onlar yanımdayken çok mutluyum.,Mutlu
Küçükken karanlıktan çok korkardım.,Korku
Hak ettiğimiz atamaların yapılmaması beni çok sinirlendiriyor.,Sinirli
Terk edilmiş çocukları gördüğümde içim acıyor.,Üzüntü
Bozulmuş balık ceset gibi iğrenç kokar.,İğrenç
Eşimin odasını topladığını görünce çok şaşırdım çünkü her zaman odası çok dağınıktır.,Süpriz
Anne olacağımı öğrendiğimde çok mutlu olmuştum.,Mutlu
Sevdiklerimi kaybetmekten korkarım.,Korku
Arkadaşımın  yalan söylemesi beni çok öfkelendirdi.,Sinirli
Fakir bir ailenin  evsiz kalışı canımı yaktı.,Üzüntü
Garsonun ellerini görünce yemeği yiyemedim.,İğrenç
Cebimde unuttuğum parayı bulunca çok şaşırdım.,Süpriz
Emekli olmak benim için yeni ve güzel bir hayata yelken açmak demekti.,Mutlu
Araba kazasından sonra bir daha direksiyona geçemedim.,Korku
Kardeşimin benden habersiz arabamı alması ilişkimizin sıkıntıya girmesine sebep oldu.,Sinirli
Babamın vefatı bende onarılmaz yaralar açtı.,Üzüntü
Odamda gördüğüm hamam böceğinden tiksindim.,İğrenç
Çocukluk arkadaşımı karşımda görünce ne yapacağımı şaşırdım.,Süpriz
Bayramda çocuklarımı karşımda görünce mutlu oldum.,Mutlu
Yaşlı arabamın motorundan gelen dumanlar kesilmeyince korktum.,Korku
Kooperatif yöneticisinin açıkça hakkımızı yemesine çok  öfkelendim.,Sinirli
Arabamın göz göre göre yanmasını çaresizce seyretmek beni üzdü.,Üzüntü
Doğru bir insan olduğunu zannettiğim kişinin açıkça hak yediğini gördüğümde tiksindim.,İğrenç
İnsanların küçücük menfaatler için dün ak dediklerine bugün kara demeleri beni şaşırtıyor.,Süpriz
diktiğim fidanların baharla birlikte yemyeşil yapraklarla bezenmesi içimi mutlulukla doldurdu.,Mutlu
Yağmurun ıslattığı ve kenarları kısmen kaymış toprak yoldan aşağıya arabamla korka korka inmeyi başardım.,Korku
"Bahçenin kapısının çoban tarafından açılarak, yeni diktiğim ve henüz yapraklanmaya başlamış fidanlarımın hayvanlar tarafından yedirilmesi beni öfkelendirdi.",Sinirli
Aşırı yağmurun bin bir zahmetle diktiğim sebzeleri sular içinde bırakmasına üzüldüm.,Üzüntü
Piknik yapanların ağaçların arasına bıraktığı boş şişe ve poşetler içimi kararttı.,İğrenç
Bu mevsimde hiç durmadan akşam başlayan yağmurun sabaha kadar sürmesine şaşırdım kaldım.,Süpriz
"Yeğenlerimi alıp sevince çok mutlu oluyorum. Hele de kız bebeklerin tatlılığı içimi sarıp sarmalıyor. O masum ve musaffa gülüşlerin ileriki yaşlarını tahayyül ediyor ve onların yanında olmak arzusu duyuyorum. İlk veya son, hepsi de birbirinden tatlı, insana mutluluk veren çehreler olmuştur benim için.",Mutlu
Ailem memlekete gittiğinde birkaç gün evde yalnız kalmıştım. O zaman zarfında özellikle gece uyumakta biraz zorlandım. Bir an ailemin olmadığı ev yaşantısını düşününce ürperdim. Bir an önce gelmelerini bekledim. Geceleri ses olmasa da hafif ürpermeler yaşadım.,Korku
Öfkelenmekle elime hiçbir şey geçmeyeceği eğer varsa öfkemi zapt etmeye çalışırım. Aksi takdirde rahatlayamayacağımı düşünürüm.,Sinirli
"Benim için neşe kaynağı olan, sevimli ve kocaman gözleriyle koşup duran köpeğimi kaybettiğimde içimde bir burukluk hissettim. Sevimli tavırlarıyla nasıl da severdim onu. İçimin sıkıldığı kimi zamanlarda sanki beni teselli etmek istercesine, aniden bana doğru koşardı. Evimde çoğu zaman yanımdan ayrılmayan bir arkadaş olmuştu.",Üzüntü
Oda arkadaşımın dağınık olduğunu kırmadan söylemeye çalışırım. Bunu bıkkınlıktan değil kendi psikolojisini düzeltebilmesi için bir yerden başlaması gerektiğini belirtmek için söylemeye çalıştığım olmuştur.,İğrenç
"Özlem duygusunun yanı sıra askerlik süresince değişmiş bulduğum oğlumu ilk gördüğümde şaşakalmıştım. Zayıflamış, süzülmüş, suskun bir haldeydi. Acaba bizim bilmediğimiz acı olaylar mı yaşamıştı. Gözlerinin içine baktığımda bunu hissedebiliyordum. Birden benim de içimi bir hüzün ve keder sardı, oğlumu sımsıkı bağrıma bastım ve evin yolunu tuttuk. Eve vardığımızda onun acılarını yüreğimin sıcaklığıyla dindirmeye kararlıydım.",Süpriz
Kızım doğduğunda çok mutlu oldum.,Mutlu
Kendi öfkemden korkuyorum. Gün gelip kendimi kaybedeceğimden.,Korku
"Şehrime gelip ortalığı karıştıran, haraç kesmeye çalışan, hırsızlık yapan, uyuşturucu satan doğu kökenli şerefsizlere çok öfkeleniyorum.",Sinirli
Şehit olan arkadaşlarımı düşününce üzülürüm.,Üzüntü
Yemeğin içinden bir tutam halinde saç çıkması.,İğrenç
Üniversiteyi normal eğitim süresi içerisinde bitirdiğimde çok mutlu olmuştum.,Mutlu
Çocukken mahalle arasında sokak köpekleri beni kovaladığında çok korkmuştum.,Korku
Garanti süresi dolmadan önce arızalanan televizyonumun bakımını yapmaya isteksiz davranan yetkili servis personeline çok öfkelendim.,Sinirli
Oğluma hiperaktif teşhisi konulduğu gün çok üzülmüştüm.,Üzüntü
İş toplantıları için gittiğim Avrupa ülkelerindeki tuvaletlerde taharet musluğu olmamasından hoşlanmıyorum.,İğrenç
Aynı iş yerinde beraber çalıştığım erkek ve kız iki mühendis arkadaşın bir anda birbirleriyle evlilik kararı almalarına çok şaşırdım.,Süpriz
Kedi görünce mutlu oluyorum.,Mutlu
Gece karanlığında ıssız bir yerden yalnız başına geçmektedir korkarım.,Korku
Çocukların beni dinlememesine sinirleniyorum.,Sinirli
Çok sevdiğim bir yazarla tanışamamak beni üzüyor,Üzüntü
İş arkadaşımın tavırları beni rahatsız ediyor,İğrenç
Hiç beklemediğim bir sınavdan iyi not alınca  çok  şaşırdım.,Süpriz
Doktoranın bitmesi beni çok sevindirir,Mutlu
10 Küçük Zenci'yi ilk okuduğumda evde tektik ve 12 yaşındaydım.,Korku
Sırada beklerken önüme birisi geçtiğinde.,Sinirli
Oyuncak tankımın namlusu kırıldığında.,Üzüntü
Klozet kapağı kaldırılmadan işenmesi,İğrenç
Nargilesiz geçen bir hafta,Süpriz
Çevremdeki insanlar mutlu oldukça,Mutlu
Ölüm,Korku
Yalan konuşulduğu zaman,Sinirli
Babamın ameliyat olduğu zaman,Üzüntü
"Yılan, sümüklü böcek",İğrenç
Çikolata yemeyen insan gördüğümde,Süpriz
Yüzme yarışlarında iyi derece alınca çok seviniyorum.,Mutlu
Evde yalnız kalmaktan korkarım.,Korku
Ailem beni dinlemeyince çok öfkelenirim.,Sinirli
İstediğim şeyleri yapamayınca üzülüyorum.,Üzüntü
Arkadaşlarımın kirli elleriyle bana dokunması beni tiksindiriyor,İğrenç
Annem beklemediğim bir doğum günü hediyesi alınca şaşırdım.,Süpriz
Akademisyenliğe adım attığım ilk gün havalarda uçuyordum.,Mutlu
Karanlık bir yerden geçerken karşıma aniden bir kedinin çıkmasıyla irkildim.,Korku
Devlet büyüklerimizin halkı enayi yerine koyuyor olması beni cidden kızdırıyor.,Sinirli
"Ben mezun olamadan dedemin vefat etmesi, beni derinden etkilemişti.",Üzüntü
"Yazın, toplu taşıma araçlarında yolcuların ter kokusunu çekmekten nefret ediyorum.",İğrenç
Amerika'da olduğunu sandığım kuzenimi karşımda görünce şok oldum.,Süpriz
Çocuklar derslerde başarılı olunca çok mutlu olurum,Mutlu
Arabayla kaza yaparım diye korkuyorum,Korku
Yapılması gereken bir iş yapılmazsa öfkelenirim,Sinirli
Babamın ölümü aklıma gelince üzüntüye boğuluyorum,Üzüntü
İnsanlar birbirine yalakalık yapınca tiksinti duyarım,İğrenç
Yıllardır görmediğim arkadaşlardan telefon alınca şaşırdım,Süpriz
Anne olunca çok mutlu oldum.,Mutlu
Toplu taşıma aracında gece bir tek bayan olarak yolculuk edince çok korktum.,Korku
Arkadaşımın sebepsiz ihanetine çok öfkelendim.,Sinirli
Kuzenim trafik kazasından sonra özürlü kalınca çok üzüldüm.,Üzüntü
Lokantada bir müşteri kusunca midem bulandı.,İğrenç
Kötü geçen dersin sınavından geçince çok şaşırdım.,Süpriz
Geçen sene bölümümüz öğrencilerinini Tübitak yarışmasını kazanmasından çok mutlu oldum.,Mutlu
Safra Kesesi Ameliyatı öncesinde gerçekten korkmuştum.,Korku
Geçen hafta İstanbul'a gideceğim uçağın iptal edildiğini öğrenince çok öfkelendim.,Sinirli
Yazları bizim bahçemize gelen kedi kaybolunca çok üzüldüm.,Üzüntü
Tuvalete girince temiz değil ise gerçekten tiksiniyorum.,İğrenç
20 senedir görmediğim bir arkadaşımı yeniden görünce çok şaşırdım.,Süpriz
Takımım şampiyon olunca çok mutlu oldum.,Mutlu
Yalnız başıma korku filmi izlemekten korkuyorum.,Korku
Birisini beklerken sinirleniyorum.,Sinirli
Bir gün annemin öleceğini düşünmek beni üzüyor.,Üzüntü
İş yoğunluğundan usandım.,İğrenç
Arkadaşlarımın sürpriz doğum günü partisi.,Süpriz
"İlk işe girişim, ilk çocuğumun ve torunumun doğuşu beni çok mutlu etmişti.",Mutlu
